writer  ,content
"
璃白°
"     ,"


闺蜜向来因为我的原因，和品质经理不和，有次年后公司集体组织外出农家乐，我们几个人碰到一个农户挑着过火柑（每次当季采摘完，特定每颗留几个在树上吸收土壤水分，到了过年后才采摘来卖，有的甜，有的酸，有的就馕了）在兜售。"
"
狐小乔
"     ,"


天天加班累死了，好不容易早下班，领导喊住我：工作都弄完了？我点头。领导又说：你看大家都在加班，就你一个人早下班，影响多不好！"
"
狐小乔
"     ,"


邻居小孩来家里。"
"
骑着二哈啃黄瓜
" ,"


我们社区大妈的广场舞每天吵死了，昨天老板到我们家坐客，听到外面很吵，就站在阳台观察了一段时间。。。"
"
图图的耳朵会动耶
","


快中秋了，老公大学几个兄弟约着一起聚聚，各自都带着家眷。定了个山庄，吃过饭，一群人坐在院子里，喝着茶，有一搭没一搭地聊天。院子里几棵桂花树都开花了，幽香阵阵！老大媳妇看着桂花，低叹：三五知己，远离城市喧嚣，清茶一杯，桂馥兰香！人间快事啊！"
"
大小可爱爱爱
"  ,"


皮肤白皙的我买 了件 红色 夹 克，又做了个 烫 发 头，还打了两个耳 钉！买了副墨镜！只为引起公司美女们的注意！"
"
孤心傲月
"    ,"


在小区看见楼上的女神扔垃圾，发现垃圾里有个快递盒，上面居然有女神电话，慌忙加了她微信。"
"
净心居士
"    ,"


老婆丫丫是个温柔贤惠，体贴入微的好女人，经常提醒我天冷加衣，下雨带伞，到点吃饭等等生活中的小小细节。"
"
义行天下7
"   ,"


儿子捡了二十块钱！"
"
胖香
"      ,"


前几天我妈领孩子们出去看广场舞，回来路上去两元超市转了一圈，让每个孩子只许挑一样东西，我侄子买了奥特曼，我闺女买了一盒牙签……"
"
天热打鼓球
"   ,"


小时候逢年过节烧的纸钱，还没有印刷的，都是爷爷拿一个木制的雕版，一张一百，蘸红色的印泥往白纸上盖。"
"
狐小乔
"     ,"


去吃快餐，旁边有个小伙子挽起袖子。我一瞅吓一跳，他的胳膊上刺满了纹身。我忙跟同事使个眼色，换到了另一桌。"
"
狐小乔
"     ,"


侄子在学校和同学打架，被请家长。侄子不敢告诉哥和嫂子，给我50块让我去。"
"
天热打鼓球
"   ,"


为了从小培养儿子的孝顺和感恩之心，我和老婆以身作则。"
"
爱新觉罗.黄瓜
" ,"


老婆做了一桌子菜，为了照顾孩子一点辣椒都没放。"
"
再见单身狗
"   ,"


坐闺蜜的车子去市里逛商场，她却选了一条比较远的路"
"
风清扬清风。
"  ,"


9年前，我被一-个女人拉住借1000块钱，尽管朋友都说是骗子，但我还是给了。没想到9年后的一天一个陌生的年轻女孩给我打电话约见面，一张熟悉的5块钱让我泪流满面。9年前我刚工作，发工资后我去银行取钱，刚出银行钱还没数完，忽然一个女人拉住了我，她旁边跟着一个八九岁的小女孩眼泪汪汪的看着我:“叔叔。能帮帮我们么?我们需要钱。”我狐疑得看着她们娘俩，看见小女孩的"
"
歌歌哒f
"    ,"


堂哥喜欢隔壁村的一个女孩，但苦于没机会和她搭话，每次看着她的车飞奔过我们村口时就只能望着排气管叹气……"
"
夏有凉风秋望月
" ,"


星期天不太舒服，在家睡觉中。"
"
狐小乔
"     ,"


科里一个老大爷住院，科里14号病床刚出院，就被安排到了那个床。"
"
空城旧梦她与伞
" ,"


来来，咱们来比比谁最惨！去年年底，第一次去女朋友家，几天后，因为疫情封村。"
"
坏小孩cium
" ,"


妞妞五岁多了，已经有竞争意识了。。。"
"
薄之凉
"     ,"


女同事结婚，少一个伴娘，想让我假扮伴娘，我一个大老爷们不好意思。女同事说她的闺蜜都结婚了，按照习俗已婚女孩不能做伴娘，所以伴娘非常紧缺，让我充个数。"
"
图图的耳朵会动耶
","


儿子人缘很好，家里老是一群群的小朋友，吵的不行，还影响闺女学习，我跟小朋友说了好多次都没什么用。看来得放大招了！"
"
空城旧梦她与伞
" ,"


晚上，洗完澡后去溜达，发现小区门口新开了一家小小的牛肉面馆。一个大妈在掌勺，一个年轻妹子帮手，那年轻妹子身材、相貌都不错，挺漂亮的。"
